annotation,answer_firstword,question_firstword,text
factoid,,Which,Which technique was used to determine the cellular locations of the CLU1 and CLU2 gene products? _A_ intracellular and secreted _A_ ER _A_ intracellular localization _A_ Golgi apparatus _A_ immunofluorescence experiments
factoid,,What,What compartments inside the cell contain clusterin proteins? _A_ ER and the Golgi apparatus _A_ epitope tag _A_ anibody _A_ secretory pathway _A_ secreted
factoid,,Which,Which of the two CLU isoforms is the main one expressed in the choroid plexus? _A_ fetal tissue _A_ CLU1 _A_ clusterin _A_ CLU2 _A_ cerebrospinal fluid
factoid,,Which,Which clusterin single nucleotide polymorphism has been linked to a reduction in the risk for developing Alzheimer's disease? _A_ CLU2 _A_ SNPs _A_ rs11136000T _A_ clusterin _A_ CLU
factoid,,Which,Which CLU protein isoforms in the brain have been characterized? _A_ CLU1 and CLU2 _A_ clusterin _A_ rs11136000 _A_ secreted proteins _A_ AD
factoid,,Which,Which CLU isoform has a consistently higher gene expression? _A_ CLU2 _A_ ribosomal protein L13A _A_ CLU1 _A_ allele _A_ PNGase
factoid,,Which,Which hormone can control the expression of CLU isoforms? _A_ real-time PCR _A_ cDNA _A_ AD _A_ rs11136000 _A_ androgen
factoid,,What,What effect do androgens have on CLU2 gene expression? _A_ association _A_ repression _A_ inhibition _A_ activation _A_ expression
factoid,,Which,Which particular histone deacetylase inhibitor has been shown to enhance the expression of CLU?  _A_ astrocytes _A_ CLU2 _A_ therapeutic agents _A_ valproate _A_ amyloid
quantity,,How,How many residues does the CLU2 protein sequence have? _A_ 449 _A_ protein _A_ 82.3 _A_ 52.5 _A_ 6
factoid,,Which,Which entity does allosterically regulate insulin degrading enzyme activity? _A_ AD _A_ Ab _A_ somatostatin _A_ microglia cells _A_ IDE
factoid,,Which,Which peptide hormone is the positive transcriptional regulator of IDE? _A_ Ab _A_ somatostatin _A_ BV-2 _A_ AD _A_ mRNA
factoid,,In,In which cell line was the gene expression regulation of IDE characterized? _A_ mouse _A_ astrocytes _A_ microglia _A_ BV-2 _A_ beta-amyloid
factoid,,Which,Which method was applied to measure the quantity of IDE mRNA in the gene regulation experiments described in the paper? _A_ ELISA _A_ siRNA _A_ RealTime PCR _A_ Western Blotting _A_ IgG antibody
factoid,,What,What regulates the production of neprilysin? _A_ somatostatin _A_ NEP _A_ enzyme _A_ matrix metalloproteinase _A_ microglia
factoid,,What,What kind of glial cell is able to phagocyte b-amyloid? _A_ neprilysin _A_ siRNA _A_ brain _A_ culture medium _A_ microglia
factoid,,What,What is the major protease produced by microglia responsible for degrading A? _A_ Ab _A_ cells _A_ IDE _A_ extracellular _A_ beta-amyloid
relation,,What,What substance exhibited a similar effect on  IDE secretion as achieved by somatostatin? _A_ octreotide _A_ analogue _A_ endogenous modulator _A_ substrate _A_ beta-amyloid
factoid,,What,"What are the sst receptors that are expressed on rat astrocytes? _A_ SSTR-2, SSTR-3 and SSTR-4 _A_ SSTR-1, SSTR-2 and SSTR-4 _A_ somatostatin _A_ microglia _A_ rat"
factoid,,What,What method was used to inhibit the expression of IDE? _A_ Western blot _A_ microglia _A_ positive modulation _A_ siRNA _A_ culture medium
factoid,,What,What cell type in AD brains shows mitochondrial defects? _A_ astrocytes _A_ epithelial _A_ fibroblasts _A_ membrane _A_ cytosol
factoid,,In,In which anatomical structure in the brain does amyloid-beta aggregate? _A_ receptor _A_ tissues _A_ choroid plexus _A_ fibroblasts _A_ mitochondrial
quantity,,How,How many persons worldwide are estimated to have a medical condition related to neurodegeneration? _A_ LPR2 _A_ mitochondria _A_ 60% _A_ more than 10 million _A_ 70 years old
factoid,,Which,Which protein is able to block nitric oxide creation? _A_ amyloid _A_ gelsolin _A_ NO _A_ mitochondrial proteins _A_ cytotoxicity
factoid,,Which,Which is the best-characterized factor that increases chances of getting AD? _A_ damage _A_ Swedish _A_ pathogenesis _A_ age _A_ stress
factoid,,With,With which particular protein does amyloid-beta interact? _A_ extracellular domain _A_ disease-related proteins _A_ mitochondria _A_ receptor _A_ gelsolin
factoid,,The,The aggregation of which peptide has been widely observed in brains of Alzheimer patients? _A_ AD _A_ amyloid-beta _A_ extracellular _A_ mtDMA _A_ secretase
factoid,,What,What specific animal model can be used to study the role of amyloid-beta in apoptosis of choroid Plexus cells? _A_ patients with AD _A_ animal AD models _A_ brain _A_ APP/Ps mice _A_ mouse
factoid,,Where,Where does amyloid-beta assemble into oligomeric structures? _A_ fractions _A_ monomeric amyloid _A_ membranes _A_ synaptic terminals _A_ lipid
cause,,When,When does oxidative stress happen in AD patients? _A_ transgenic mouse _A_ predominantly in synaptic mitochondria _A_ choroid plexus _A_ before amyloid-beta accumulation _A_ postmortem
factoid,,What,What effect can be observed when when -secretase is blocked?  _A_ APP-CTF accumulation _A_ PSEN1 mutations _A_ cell-based data _A_ APH1 variants _A_ transition-state analogue
cause,They,When,When APH1 genes are overexpressed in MEF KO what happens with the A? _A_ They are purified _A_ They are anterior _A_ They are shorter _A_ They are longer _A_ They are supported
factoid,,In,In which gene are mutations associated to many cases of early-onset familial forms of Alzheimer's disease?G _A_ FAD _A_ I-CLiPs _A_ NCT _A_ PSEN1 _A_ D257A
